cluster_number	gene	z_score
0	FHOD3	11.868413925170898
0	FAM84B	11.837440490722656
0	IRX2	11.801874160766602
0	GPRIN3	11.783736228942871
0	GMPR	11.746058464050293
0	RBM20	11.736984252929688
0	MARCH11	11.589991569519043
0	NMRK2	11.584821701049805
0	GJA3	11.513415336608887
0	MT3	11.498303413391113
0	NRAP	11.347363471984863
0	CISD1	11.334333419799805
0	ACKR3	11.270709037780762
0	HRH2	11.211926460266113
0	RAB3IP	11.191380500793457
0	LIMS2	11.142738342285156
0	SGIP1	11.140909194946289
0	TDGF1	11.119197845458984
0	RYR2	11.095008850097656
0	SLC1A3	11.079614639282227
0	CXADR	11.055511474609375
0	CACNB2	10.988828659057617
0	STRIP2	10.97828197479248
0	CYFIP2	10.913914680480957
0	CDH2	10.90343952178955
0	HBB	10.891084671020508
0	ATP1A3	10.82529067993164
0	DSP	10.782928466796875
0	RBM24	10.7069673538208
0	RP11-19O2.1	10.6904878616333
0	SBSPON	10.677906036376953
0	GPAT3	10.673637390136719
0	PPP1R3B	10.64237117767334
0	ANKRD9	10.635626792907715
0	BVES	10.609811782836914
0	CAP2	10.601908683776855
0	HMGA1	10.601613998413086
0	C14orf180	10.59322452545166
0	PDK1	10.581324577331543
0	ROR1	10.463515281677246
0	HBZ	10.360505104064941
0	CPVL	10.357324600219727
0	FGF12	10.341530799865723
0	SLC38A1	10.324491500854492
0	SLC4A3	10.293437004089355
0	MLF1	10.211342811584473
0	BMP5	10.130108833312988
0	FAM129A	10.079182624816895
0	NDRG4	10.076900482177734
0	HBQ1	10.030622482299805
0	INPP4B	10.023738861083984
0	PGAM2	10.007710456848145
0	LINC01186	9.957927703857422
0	GPR22	9.954265594482422
0	STARD4	9.897772789001465
0	PPP1R12B	9.859155654907227
0	KCNJ2	9.817797660827637
0	IGFBP6	9.656595230102539
0	CPT1B	9.641219139099121
0	A4GALT	9.593859672546387
0	CASZ1	9.51900577545166
0	BEX1	9.487465858459473
0	DUSP27	9.467757225036621
0	FLNC	9.427767753601074
0	B4GALNT3	9.402697563171387
0	VEGFA	9.364995002746582
0	C5orf38	9.356813430786133
0	ACTA1	9.342962265014648
0	LMO7	9.341678619384766
0	SNCA	9.231241226196289
0	DMKN	9.18531322479248
0	RNF207	9.149517059326172
0	PDGFD	9.128850936889648
0	BRINP3	9.111626625061035
0	TMC6	9.07206916809082
0	PRKAA2	9.067757606506348
0	FRMD3	9.053119659423828
0	ACOT11	9.047183990478516
0	MGST2	9.004717826843262
0	PLXNA4	8.988382339477539
0	ADAMTS6	8.883437156677246
0	HBG1	8.852738380432129
0	ANXA3	8.851045608520508
0	LGALS3BP	8.838650703430176
0	C9orf3	8.835892677307129
0	MTUS1	8.768354415893555
0	ALPK2	8.763794898986816
0	IRX5	8.762107849121094
0	SIPA1L2	8.737614631652832
0	RCAN2	8.714017868041992
0	TFRC	8.563693046569824
0	CLDN6	8.499258041381836
0	LINC01082	8.486818313598633
0	NFE2	8.458227157592773
0	MICAL3	8.45392894744873
0	GLUL	8.430479049682617
0	LDHD	8.397296905517578
0	AC013461.1	8.388476371765137
0	EPN3	8.349159240722656
0	ALPK3	8.333394050598145
0	IGFBP5	8.249526023864746
0	SLC16A3	8.22259521484375
0	MTRNR2L8	8.182530403137207
0	FAM65B	8.14077091217041
0	ESRRG	8.136076927185059
0	TRH	8.126567840576172
0	TLL2	8.085209846496582
0	AKR1B1	8.075835227966309
0	COL21A1	8.054924964904785
0	VCAM1	8.000736236572266
0	ADPRHL1	7.996516227722168
0	WNK2	7.963524341583252
0	KIF1A	7.9394989013671875
